match_date,year,tournament,stage,team_a,team_b,gf_avg_a,ga_avg_a,xgf_avg_a,xga_avg_a,points_avg_a,matches_played_a,gf_avg_b,ga_avg_b,xgf_avg_b,xga_avg_b,points_avg_b,matches_played_b,gf_diff,ga_diff,xgf_diff,xga_diff,form_diff,experience_diff,goals_a,goals_b,xg_a,xg_b
2018-06-14,2018,FIFA World Cup,Group stage,Russia,Saudi Arabia,1.3,1.3,1.3,1.3,1.0,0,1.3,1.3,1.3,1.3,1.0,0,0.0,0.0,0.0,0.0,0.0,0,5,0,1.7,0.2
2018-06-15,2018,FIFA World Cup,Group stage,Portugal,Spain,1.3,1.3,1.3,1.3,1.0,0,1.3,1.3,1.3,1.3,1.0,0,0.0,0.0,0.0,0.0,0.0,0,3,3,1.2,1.6
2018-06-15,2018,FIFA World Cup,Group stage,Morocco,IR Iran,1.3,1.3,1.3,1.3,1.0,0,1.3,1.3,1.3,1.3,1.0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.7,1.0
2018-06-15,2018,FIFA World Cup,Group stage,Egypt,Uruguay,1.3,1.3,1.3,1.3,1.0,0,1.3,1.3,1.3,1.3,1.0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.3,1.6
2018-06-16,2018,FIFA World Cup,Group stage,Croatia,Nigeria,1.3,1.3,1.3,1.3,1.0,0,1.3,1.3,1.3,1.3,1.0,0,0.0,0.0,0.0,0.0,0.0,0,2,0,1.5,0.7
2018-06-16,2018,FIFA World Cup,Group stage,Peru,Denmark,1.3,1.3,1.3,1.3,1.0,0,1.3,1.3,1.3,1.3,1.0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,1.7,1.0
2018-06-16,2018,FIFA World Cup,Group stage,Argentina,Iceland,1.3,1.3,1.3,1.3,1.0,0,1.3,1.3,1.3,1.3,1.0,0,0.0,0.0,0.0,0.0,0.0,0,1,1,1.9,1.0
2018-06-16,2018,FIFA World Cup,Group stage,France,Australia,1.3,1.3,1.3,1.3,1.0,0,1.3,1.3,1.3,1.3,1.0,0,0.0,0.0,0.0,0.0,0.0,0,2,1,1.3,1.0
2018-06-17,2018,FIFA World Cup,Group stage,Costa Rica,Serbia,1.3,1.3,1.3,1.3,1.0,0,1.3,1.3,1.3,1.3,1.0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.9,0.9
2018-06-17,2018,FIFA World Cup,Group stage,Brazil,Switzerland,1.3,1.3,1.3,1.3,1.0,0,1.3,1.3,1.3,1.3,1.0,0,0.0,0.0,0.0,0.0,0.0,0,1,1,2.2,0.9
2018-06-17,2018,FIFA World Cup,Group stage,Germany,Mexico,1.3,1.3,1.3,1.3,1.0,0,1.3,1.3,1.3,1.3,1.0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,1.4,1.3
2018-06-18,2018,FIFA World Cup,Group stage,Tunisia,England,1.3,1.3,1.3,1.3,1.0,0,1.3,1.3,1.3,1.3,1.0,0,0.0,0.0,0.0,0.0,0.0,0,1,2,1.0,2.8
2018-06-18,2018,FIFA World Cup,Group stage,Belgium,Panama,1.3,1.3,1.3,1.3,1.0,0,1.3,1.3,1.3,1.3,1.0,0,0.0,0.0,0.0,0.0,0.0,0,3,0,2.0,0.5
2018-06-18,2018,FIFA World Cup,Group stage,Sweden,Korea Republic,1.3,1.3,1.3,1.3,1.0,0,1.3,1.3,1.3,1.3,1.0,0,0.0,0.0,0.0,0.0,0.0,0,1,0,2.3,0.3
2018-06-19,2018,FIFA World Cup,Group stage,Russia,Egypt,5.0,0.0,1.7,0.2,3.0,1,0.0,1.0,0.3,1.6,0.0,1,5.0,1.0,1.4,1.4000000000000001,3.0,0,3,1,1.2,1.4
2018-06-19,2018,FIFA World Cup,Group stage,Poland,Senegal,1.3,1.3,1.3,1.3,1.0,0,1.3,1.3,1.3,1.3,1.0,0,0.0,0.0,0.0,0.0,0.0,0,1,2,0.8,1.0
2018-06-19,2018,FIFA World Cup,Group stage,Colombia,Japan,1.3,1.3,1.3,1.3,1.0,0,1.3,1.3,1.3,1.3,1.0,0,0.0,0.0,0.0,0.0,0.0,0,1,2,1.0,2.0
2018-06-20,2018,FIFA World Cup,Group stage,Portugal,Morocco,3.0,3.0,1.2,1.6,1.0,1,0.0,1.0,0.7,1.0,0.0,1,3.0,-2.0,0.5,-0.6000000000000001,1.0,0,1,0,1.2,0.9
2018-06-20,2018,FIFA World Cup,Group stage,Uruguay,Saudi Arabia,1.0,0.0,1.6,0.3,3.0,1,0.0,5.0,0.2,1.7,0.0,1,1.0,5.0,1.4000000000000001,1.4,3.0,0,1,0,1.7,0.3
2018-06-20,2018,FIFA World Cup,Group stage,IR Iran,Spain,1.0,0.0,1.0,0.7,3.0,1,3.0,3.0,1.6,1.2,1.0,1,-2.0,3.0,-0.6000000000000001,0.5,2.0,0,0,1,0.7,1.9
2018-06-21,2018,FIFA World Cup,Group stage,Argentina,Croatia,1.0,1.0,1.9,1.0,1.0,1,2.0,0.0,1.5,0.7,3.0,1,-1.0,-1.0,0.3999999999999999,-0.30000000000000004,-2.0,0,0,3,1.3,1.9
2018-06-21,2018,FIFA World Cup,Group stage,France,Peru,2.0,1.0,1.3,1.0,3.0,1,0.0,1.0,1.7,1.0,0.0,1,2.0,0.0,-0.3999999999999999,0.0,3.0,0,1,0,2.0,0.4
2018-06-21,2018,FIFA World Cup,Group stage,Denmark,Australia,1.0,0.0,1.0,1.7,3.0,1,1.0,2.0,1.0,1.3,0.0,1,0.0,2.0,0.0,-0.3999999999999999,3.0,0,1,1,0.8,1.3
2018-06-22,2018,FIFA World Cup,Group stage,Serbia,Switzerland,1.0,0.0,0.9,0.9,3.0,1,1.0,1.0,0.9,2.2,1.0,1,0.0,1.0,0.0,1.3000000000000003,2.0,0,1,2,1.5,2.1
2018-06-22,2018,FIFA World Cup,Group stage,Nigeria,Iceland,0.0,2.0,0.7,1.5,0.0,1,1.0,1.0,1.0,1.9,1.0,1,-1.0,-1.0,-0.30000000000000004,0.3999999999999999,-1.0,0,2,0,0.9,1.3
2018-06-22,2018,FIFA World Cup,Group stage,Brazil,Costa Rica,1.0,1.0,2.2,0.9,1.0,1,0.0,1.0,0.9,0.9,0.0,1,1.0,0.0,1.3000000000000003,0.0,1.0,0,2,0,2.6,0.1
2018-06-23,2018,FIFA World Cup,Group stage,Belgium,Tunisia,3.0,0.0,2.0,0.5,3.0,1,1.0,2.0,1.0,2.8,0.0,1,2.0,2.0,1.0,2.3,3.0,0,5,2,5.2,1.1
2018-06-23,2018,FIFA World Cup,Group stage,Korea Republic,Mexico,0.0,1.0,0.3,2.3,0.0,1,1.0,0.0,1.3,1.4,3.0,1,-1.0,-1.0,-1.0,-0.8999999999999999,-3.0,0,1,2,0.9,1.9
2018-06-23,2018,FIFA World Cup,Group stage,Germany,Sweden,0.0,1.0,1.4,1.3,0.0,1,1.0,0.0,2.3,0.3,3.0,1,-1.0,-1.0,-0.8999999999999999,-1.0,-3.0,0,2,1,1.4,0.9
2018-06-24,2018,FIFA World Cup,Group stage,England,Panama,2.0,1.0,2.8,1.0,3.0,1,0.0,3.0,0.5,2.0,0.0,1,2.0,2.0,2.3,1.0,3.0,0,6,1,2.8,1.1
2018-06-24,2018,FIFA World Cup,Group stage,Poland,Colombia,1.0,2.0,0.8,1.0,0.0,1,1.0,2.0,1.0,2.0,0.0,1,0.0,0.0,-0.19999999999999996,1.0,0.0,0,0,3,1.1,2.1
2018-06-24,2018,FIFA World Cup,Group stage,Japan,Senegal,2.0,1.0,2.0,1.0,3.0,1,2.0,1.0,1.0,0.8,3.0,1,0.0,0.0,1.0,-0.19999999999999996,0.0,0,2,2,0.9,1.4
2018-06-25,2018,FIFA World Cup,Group stage,IR Iran,Portugal,0.5,0.5,0.85,1.2999999999999998,1.5,2,2.0,1.5,1.2,1.25,2.0,2,-1.5,1.0,-0.35,-0.04999999999999982,-0.5,0,1,1,1.4,1.3
2018-06-25,2018,FIFA World Cup,Group stage,Spain,Morocco,2.0,1.5,1.75,0.95,2.0,2,0.0,1.0,0.8,1.1,0.0,2,2.0,-0.5,0.95,0.15000000000000013,2.0,0,2,2,2.9,1.2
2018-06-25,2018,FIFA World Cup,Group stage,Uruguay,Russia,1.0,0.0,1.65,0.3,3.0,2,4.0,0.5,1.45,0.7999999999999999,3.0,2,-3.0,0.5,0.19999999999999996,0.49999999999999994,0.0,0,3,0,2.4,0.1
2018-06-25,2018,FIFA World Cup,Group stage,Saudi Arabia,Egypt,0.0,3.0,0.25,1.7,0.0,2,0.5,2.0,0.85,1.4,0.0,2,-0.5,-1.0,-0.6,-0.30000000000000004,0.0,0,2,1,2.6,0.8
2018-06-26,2018,FIFA World Cup,Group stage,Nigeria,Argentina,1.0,1.0,0.8,1.4,1.5,2,0.5,2.0,1.6,1.45,0.5,2,0.5,1.0,-0.8,0.050000000000000044,1.0,0,1,2,1.4,0.9
2018-06-26,2018,FIFA World Cup,Group stage,Iceland,Croatia,0.5,1.5,1.15,1.4,0.5,2,2.5,0.0,1.7,1.0,3.0,2,-2.0,-1.5,-0.55,-0.3999999999999999,-2.5,0,1,2,2.1,0.7
2018-06-26,2018,FIFA World Cup,Group stage,Denmark,France,1.0,0.5,0.9,1.5,2.0,2,1.5,0.5,1.65,0.7,3.0,2,-0.5,0.0,-0.7499999999999999,-0.8,-1.0,0,0,0,0.2,0.4
2018-06-26,2018,FIFA World Cup,Group stage,Australia,Peru,1.0,1.5,1.15,1.05,0.5,2,0.0,1.0,1.05,1.5,0.0,2,1.0,-0.5,0.09999999999999987,0.44999999999999996,0.5,0,0,2,0.9,0.2
2018-06-27,2018,FIFA World Cup,Group stage,Serbia,Brazil,1.0,1.0,1.2,1.5,1.5,2,1.5,0.5,2.4000000000000004,0.5,2.0,2,-0.5,-0.5,-1.2000000000000004,-1.0,-0.5,0,0,2,0.8,1.4
2018-06-27,2018,FIFA World Cup,Group stage,Switzerland,Costa Rica,1.5,1.0,1.5,1.85,2.0,2,0.0,1.5,0.5,1.75,0.0,2,1.5,0.5,1.0,-0.10000000000000009,2.0,0,2,2,1.4,1.5
2018-06-27,2018,FIFA World Cup,Group stage,Mexico,Sweden,1.5,0.5,1.6,1.15,3.0,2,1.0,1.0,1.5999999999999999,0.85,1.5,2,0.5,0.5,2.220446049250313e-16,-0.29999999999999993,1.5,0,0,3,1.4,2.4
2018-06-27,2018,FIFA World Cup,Group stage,Korea Republic,Germany,0.5,1.5,0.6,2.0999999999999996,0.0,2,1.0,1.0,1.4,1.1,1.5,2,-0.5,-0.5,-0.7999999999999999,-0.9999999999999996,-1.5,0,2,0,1.7,2.7
2018-06-28,2018,FIFA World Cup,Group stage,Japan,Poland,2.0,1.5,1.45,1.2,2.0,2,0.5,2.5,0.9500000000000001,1.55,0.0,2,1.5,1.0,0.4999999999999999,0.3500000000000001,2.0,0,0,1,0.7,1.4
2018-06-28,2018,FIFA World Cup,Group stage,Senegal,Colombia,2.0,1.5,1.2,0.8500000000000001,2.0,2,2.0,1.0,1.55,1.55,1.5,2,0.0,-0.5,-0.3500000000000001,0.7,0.5,0,0,1,0.5,0.3
2018-06-28,2018,FIFA World Cup,Group stage,England,Belgium,4.0,1.0,2.8,1.05,3.0,2,4.0,1.0,3.6,0.8,3.0,2,0.0,0.0,-0.8000000000000003,-0.25,0.0,0,0,1,0.9,1.3
2018-06-28,2018,FIFA World Cup,Group stage,Panama,Tunisia,0.5,4.5,0.8,2.4,0.0,2,1.5,3.5,1.05,4.0,0.0,2,-1.0,-1.0,-0.25,1.6,0.0,0,1,2,0.6,2.1
2018-06-30,2018,FIFA World Cup,Round of 16,Uruguay,Portugal,1.6666666666666667,0.0,1.8999999999999997,0.2333333333333333,3.0,3,1.6666666666666667,1.3333333333333333,1.2333333333333334,1.3,1.6666666666666667,3,0.0,1.3333333333333333,0.6666666666666663,1.0666666666666667,1.3333333333333333,0,2,1,0.6,1.0
2018-06-30,2018,FIFA World Cup,Round of 16,France,Argentina,1.0,0.3333333333333333,1.2333333333333332,0.5333333333333333,2.3333333333333335,3,1.0,1.6666666666666667,1.366666666666667,1.4333333333333333,1.3333333333333333,3,0.0,1.3333333333333335,-0.13333333333333375,0.9,1.0000000000000002,0,4,3,2.2,0.8
2018-07-01,2018,FIFA World Cup,Round of 16,Croatia,Denmark,2.3333333333333335,0.3333333333333333,1.3666666666666665,1.3666666666666665,3.0,3,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.1333333333333333,1.6666666666666667,3,1.666666666666667,0.0,0.6999999999999998,-0.23333333333333317,1.3333333333333333,0,1,1,2.5,0.9
2018-07-01,2018,FIFA World Cup,Round of 16,Spain,Russia,2.0,1.6666666666666667,2.1333333333333333,1.0333333333333332,1.6666666666666667,3,2.6666666666666665,1.3333333333333333,1.0,1.3333333333333333,2.0,3,-0.6666666666666665,-0.3333333333333335,1.1333333333333333,0.30000000000000004,-0.33333333333333326,0,1,1,1.8,1.0
2018-07-02,2018,FIFA World Cup,Round of 16,Belgium,Japan,3.0,0.6666666666666666,2.8333333333333335,0.8333333333333334,3.0,3,1.3333333333333333,1.3333333333333333,1.2,1.2666666666666666,1.3333333333333333,3,1.6666666666666667,0.6666666666666666,1.6333333333333335,0.43333333333333324,1.6666666666666667,0,3,2,2.5,0.7
2018-07-02,2018,FIFA World Cup,Round of 16,Brazil,Mexico,1.6666666666666667,0.3333333333333333,2.066666666666667,0.6,2.3333333333333335,3,1.0,1.3333333333333333,1.5333333333333332,1.5666666666666664,2.0,3,0.6666666666666667,1.0,0.5333333333333337,0.9666666666666665,0.3333333333333335,0,2,0,2.7,0.7
2018-07-03,2018,FIFA World Cup,Round of 16,Colombia,England,1.6666666666666667,0.6666666666666666,1.1333333333333333,1.2,2.0,3,2.6666666666666665,1.0,2.1666666666666665,1.1333333333333335,2.0,3,-0.9999999999999998,0.33333333333333337,-1.0333333333333332,-0.06666666666666643,0.0,0,1,1,0.6,2.1
2018-07-03,2018,FIFA World Cup,Round of 16,Sweden,Switzerland,1.6666666666666667,0.6666666666666666,1.8666666666666665,1.0333333333333332,2.0,3,1.6666666666666667,1.3333333333333333,1.4666666666666668,1.7333333333333334,1.6666666666666667,3,0.0,0.6666666666666666,0.3999999999999997,0.7000000000000002,0.33333333333333326,0,1,0,1.3,0.7
2018-07-06,2018,FIFA World Cup,Quarter-finals,Brazil,Belgium,1.75,0.25,2.2250000000000005,0.625,2.5,4,3.0,1.0,2.75,0.8,3.0,4,-1.25,0.75,-0.5249999999999995,0.17500000000000004,-0.5,0,1,2,2.8,0.5
2018-07-06,2018,FIFA World Cup,Quarter-finals,Uruguay,France,1.75,0.25,1.5749999999999997,0.425,3.0,4,1.75,1.0,1.475,0.6,2.5,4,0.0,0.75,0.09999999999999964,0.175,0.5,0,0,2,0.9,0.5
2018-07-07,2018,FIFA World Cup,Quarter-finals,Sweden,England,1.5,0.5,1.7249999999999999,0.95,2.25,4,2.25,1.0,2.15,1.0,1.75,4,-0.75,0.5,-0.42500000000000004,0.050000000000000044,0.5,0,0,2,0.5,1.0
2018-07-07,2018,FIFA World Cup,Quarter-finals,Russia,Croatia,2.25,1.25,1.0,1.45,1.75,4,2.0,0.5,1.65,1.25,2.5,4,0.25,-0.75,-0.6499999999999999,-0.19999999999999996,-0.75,0,2,2,1.0,1.7
2018-07-10,2018,FIFA World Cup,Semi-finals,France,Belgium,1.8,0.8,1.28,0.6599999999999999,2.6,5,2.8,1.0,2.3,1.2,3.0,5,-0.9999999999999998,0.19999999999999996,-1.0199999999999998,0.54,-0.3999999999999999,0,1,0,1.7,0.4
2018-07-11,2018,FIFA World Cup,Semi-finals,Croatia,England,2.0,0.8,1.6599999999999997,1.2,2.2,5,2.2,0.8,1.92,0.9,2.0,5,-0.20000000000000018,0.0,-0.26000000000000023,-0.29999999999999993,0.20000000000000018,0,2,1,1.7,0.6
2018-07-14,2018,FIFA World Cup,Third-place match,Belgium,England,2.2,1.2,1.98,1.44,2.4,6,2.0,1.0,1.48,1.04,1.4,6,0.20000000000000018,-0.19999999999999996,0.5,-0.3999999999999999,1.0,0,2,0,1.5,1.0
2018-07-15,2018,FIFA World Cup,Final,France,Croatia,1.6,0.6,1.3599999999999999,0.54,2.6,6,2.0,1.0,1.7,1.1800000000000002,2.2,6,-0.3999999999999999,0.4,-0.3400000000000001,0.6400000000000001,0.3999999999999999,0,4,2,1.1,1.1
2022-11-20,2022,FIFA World Cup,Group stage,Qatar,Ecuador,1.3,1.3,1.3,1.3,1.0,0,1.3,1.3,1.3,1.3,1.0,0,0.0,0.0,0.0,0.0,0.0,0,0,2,0.3,1.2
2022-11-21,2022,FIFA World Cup,Group stage,United States,Wales,1.3,1.3,1.3,1.3,1.0,0,1.3,1.3,1.3,1.3,1.0,0,0.0,0.0,0.0,0.0,0.0,0,1,1,0.8,1.5
2022-11-21,2022,FIFA World Cup,Group stage,Senegal,Netherlands,1.3333333333333333,1.3333333333333333,0.9666666666666667,0.6666666666666666,1.3333333333333333,3,1.3,1.3,1.3,1.3,1.0,0,0.033333333333333215,-0.033333333333333215,-0.33333333333333337,0.6333333333333334,0.33333333333333326,3,0,2,0.9,0.7
2022-11-21,2022,FIFA World Cup,Group stage,England,IR Iran,0.8,1.2,1.1199999999999999,1.1199999999999999,0.8,7,0.6666666666666666,0.6666666666666666,1.0333333333333332,1.2999999999999998,1.3333333333333333,3,0.13333333333333341,-0.5333333333333333,0.08666666666666667,0.17999999999999994,-0.5333333333333332,4,6,2,2.1,1.4
